time,gFx,gFy,gFz
2026-07-15 17:1:52.0190,-0.17,-1.018,0.148,1.043
2026-07-15 17:1:52.0280,-0.16,-1.008,0.144,1.031
2026-07-15 17:1:52.0380,-0.151,-0.992,0.141,1.013
2026-07-15 17:1:52.0480,-0.138,-0.977,0.14,0.997
2026-07-15 17:1:52.0580,-0.134,-0.97,0.139,0.989
2026-07-15 17:1:52.0680,-0.132,-0.957,0.142,0.976
2026-07-15 17:1:52.1030,-0.135,-0.943,0.152,0.965
2026-07-15 17:1:52.1030,-0.135,-0.943,0.152,0.965
2026-07-15 17:1:52.1030,-0.135,-0.943,0.152,0.965
2026-07-15 17:1:52.1080,-0.14,-0.95,0.161,0.974
2026-07-15 17:1:52.1190,-0.146,-0.958,0.173,0.984
2026-07-15 17:1:52.1280,-0.148,-0.966,0.182,0.994
2026-07-15 17:1:52.1380,-0.144,-0.973,0.188,1.001
2026-07-15 17:1:52.1480,-0.136,-0.977,0.194,1.005
2026-07-15 17:1:52.1580,-0.131,-0.98,0.192,1.007
2026-07-15 17:1:52.1690,-0.13,-0.984,0.19,1.011
2026-07-15 17:1:52.2030,-0.139,-0.987,0.176,1.012
2026-07-15 17:1:52.2030,-0.139,-0.987,0.176,1.012
2026-07-15 17:1:52.2030,-0.139,-0.987,0.176,1.012
2026-07-15 17:1:52.2080,-0.14,-0.983,0.177,1.009
2026-07-15 17:1:52.2190,-0.139,-0.976,0.182,1.003
2026-07-15 17:1:52.2280,-0.139,-0.971,0.189,0.999
2026-07-15 17:1:52.2380,-0.138,-0.971,0.196,1.0
2026-07-15 17:1:52.2480,-0.14,-0.966,0.204,0.997
2026-07-15 17:1:52.2590,-0.149,-0.961,0.211,0.995
2026-07-15 17:1:52.2690,-0.156,-0.958,0.22,0.995
2026-07-15 17:1:52.3030,-0.156,-0.968,0.277,1.019
2026-07-15 17:1:52.3030,-0.156,-0.968,0.277,1.019
2026-07-15 17:1:52.3040,-0.156,-0.968,0.277,1.019
2026-07-15 17:1:52.3080,-0.15,-0.975,0.288,1.028
2026-07-15 17:1:52.3190,-0.147,-0.988,0.291,1.04
2026-07-15 17:1:52.3280,-0.144,-1.004,0.286,1.054
2026-07-15 17:1:52.3380,-0.139,-1.016,0.272,1.061
2026-07-15 17:1:52.3490,-0.135,-1.018,0.252,1.057
2026-07-15 17:1:52.3590,-0.132,-1.016,0.227,1.049
2026-07-15 17:1:52.3690,-0.131,-1.01,0.203,1.038
2026-07-15 17:1:52.4040,-0.147,-0.999,0.163,1.023
2026-07-15 17:1:52.4040,-0.147,-0.999,0.163,1.023
2026-07-15 17:1:52.4040,-0.147,-0.999,0.163,1.023
2026-07-15 17:1:52.4080,-0.151,-0.998,0.163,1.022
2026-07-15 17:1:52.4190,-0.154,-0.995,0.166,1.02
